Country,Month,Total,N_Languages,Max_N,Variance,Skewness,Kurtosis
SWZ,2018-07,8793,5,6407,798583.7024673437,6.647529328858165,43.681495824520425
SWZ,2018-08,6521,4,4682,565853.0506410259,5.661529417806938,31.300002822839204
SWZ,2018-09,9920,5,6857,940001.7496229262,6.478539778817424,41.747324738653035
SWZ,2018-10,16858,5,10728,1958138.5625,6.852853251128443,47.79438088552924
SWZ,2018-11,32099,4,24500,9637717.641065033,7.507703386060756,55.45381627726044
SWZ,2018-12,57368,5,43060,29837461.404505897,7.475332700259661,55.10963134046273
SWZ,2019-01,64260,4,50689,34977162.23843021,8.246266785987721,66.9307739564819
SWZ,2019-02,59815,5,46676,36616430.82344634,7.353830645351703,52.974664252583146
SWZ,2019-03,57620,4,44607,29994133.09090909,7.783839060333924,59.62364418608464
SWZ,2019-04,50619,4,39243,25067476.118720256,7.473827091266044,54.818207311607324
SWZ,2019-05,51591,4,40156,26632341.188524596,7.428072466599914,54.04952424241207
SWZ,2019-06,38065,5,27853,12161585.490384616,7.538930990623707,56.326575652714716
SWZ,2019-07,57694,4,45020,28030962.473744284,8.156762655954834,65.59021629802359
SWZ,2019-08,60834,5,48054,32778895.494567413,8.061521736046457,63.919795470506614
SWZ,2019-09,62646,4,49054,33270214.47260274,8.161631450756136,65.64511557849083
SWZ,2019-10,62882,4,48542,42433987.042857155,7.077305629209513,48.98449883380148
SWZ,2019-11,66947,5,50056,33002610.19719755,8.32045802271099,68.64763916915152
SWZ,2019-12,59325,5,42595,24504910.08473683,8.111695282165885,65.81090281126905
SWZ,2020-01,57212,5,42676,23692917.525807526,8.37092879648936,69.53463706391359
SWZ,2020-02,56745,6,43362,26324842.392605633,8.105158305190086,64.71373695750553
SWZ,2020-03,61337,5,45202,29089056.290140837,7.99643825114574,63.18182943695348
ZWE,2017-07,20998,2,20016,8002392.8963265335,6.8497341634494004,44.952959514336456
ZWE,2017-08,55043,2,52645,43266155.98189484,7.804617404581156,58.94674556252883
ZWE,2017-09,100400,2,95284,114861459.43557277,8.707621330459423,73.88542655043524
ZWE,2017-10,42703,2,40756,26772246.25198308,7.672154976021094,56.913174361083804
ZWE,2018-07,61769,4,49832,27121679.38592929,9.295453771650516,85.21655995768437
ZWE,2018-08,53821,4,43807,23768213.926234573,8.71625545200357,74.61432282375948
ZWE,2018-09,72614,4,58007,33195068.78237235,9.787739234884434,94.78966649919433
ZWE,2018-10,117220,5,92639,71494927.00041322,10.668328736123051,113.09246952422954
ZWE,2018-11,159352,5,123396,132409081.1928036,10.419120584422311,107.9182309657819
ZWE,2018-12,259697,6,198434,313916235.23372096,10.860705635599249,117.76462010906026
ZWE,2019-01,293206,5,227924,434160640.5219009,10.614406036988822,112.27668381430844
ZWE,2019-02,269889,5,209301,399245574.5931203,10.142290534376444,102.4084352323633
ZWE,2019-03,262566,5,208722,388577732.74352074,10.299094184483758,105.27522697689079
ZWE,2019-04,219586,5,178328,277942929.12616324,10.442112164162186,107.9594406989685
ZWE,2019-05,207839,6,175578,291112590.95354897,10.08151927345049,100.08093263398648
ZWE,2019-06,169033,6,140056,215789255.2749696,9.302123397636674,85.00607445657312
ZWE,2019-07,259593,5,215030,396221921.6923077,10.580111231274811,110.59892057005176
ZWE,2019-08,265570,5,223349,484712047.03350496,9.932980538333657,97.10044300950635
ZWE,2019-09,268111,5,226376,498073662.0976584,9.93039941861646,97.06489957558067
ZWE,2019-10,287955,5,238276,526890298.2453271,10.153637745843819,101.71067520113623
ZWE,2019-11,278027,6,230598,537731517.1900638,9.720539794234291,92.98194307131722
ZWE,2019-12,268550,5,220805,474476131.49838173,9.90217392691116,96.68076587234039
ZWE,2020-01,254831,5,208751,420085737.57048166,9.94824967117042,97.62098839195176
