,iso3,Total_TW,Twitter: N. Languages,Max_N_TW,Twitter: Variance of Distribution,Twitter: Skewness of Distribution,Twitter: Kurtosis of Distribution,Total_TW2,Twitter LID2: N. Languages,Max_N_TW,Twitter LID2: Variance of Distribution,Twitter LID2: Skewness of Distribution,Twitter LID2: Kurtosis of Distribution,Total_CC,Web: N. Languages,Max_N_CC,Web: Variance of Distribution,Web: Skewness of Distribution,Web: Kurtosis of Distribution,Twitter: HHI,Twitter LID2: HHI,Web: HHI,Twitter: Change During COVID,Twitter: Type of Change During COVID
0,ABW,0.0,0,--,--,--,--,0.0,0,--,--,--,--,3524280.0,3,1627745.0,467241809425.0,-0.6827887557813529,-1.5,,0.0,0.34084506908491957,,No Change
1,AFG,70134662.0,12,25626337.0,7393535515181.78,7.30182527649401,58.712059831712594,78358139.0,14,25901827.0,7643538128930.702,7.192873417328646,57.11086402312791,30187216.0,3,15106302.0,43391903083657.7,0.4111587094860573,-1.4183674906461057,0.2001482382243322,0.14099511235941578,0.3904682381716499,0.009091884,Increasing HHI
2,AGO,32567620.0,8,14219973.0,3305084929973.3984,6.906145378525657,46.82897023302919,34775459.0,8,14494441.0,3399442648001.3325,6.882446088168697,46.71250709310878,9056065.0,4,6851468.0,9601936613492.25,1.068957598101501,-0.7412790698709655,0.330573088590111,0.2644289678045918,0.6012376213635902,,No Change
3,ALB,53452741.0,11,16679765.0,4131852611832.0503,6.50460205295454,44.44987929808936,62776363.0,13,16872846.0,4826761816327.645,6.39500389866074,42.394453607877,256478559.0,3,221280016.0,2866854587692336.0,3.6603119883432087,11.610521791111653,0.18042182265622275,0.12883475553228288,0.7561297154097563,0.035995805,Decreasing HHI
4,AND,16607206.0,5,6778143.0,1040338253837.6259,5.614067783363884,30.97318611271247,17498278.0,5,6870190.0,1100574169570.1975,5.599952377433176,30.69470251423993,74627937.0,4,46848124.0,334002552625034.5,1.3266005839285766,0.14229474314147073,0.3032710256493285,0.27219115357235163,0.5026878015651522,,No Change
5,ARE,5970339.0,7,2581889.0,178570271991.83563,5.726066985942055,31.023654807787878,6503382.0,9,2605264.0,179640338221.29285,5.747319453860191,31.350883225367177,654903107.0,2,424261116.0,6927106481145007.0,4.176079558663167,16.53813140542678,,0.28509678875987043,0.5319290917242354,,No Change
6,ARG,378650937.0,3,363920917.0,1003339577568961.1,11.347287206192966,126.84235567626672,384922621.0,3,367270897.0,1021800983618924.1,11.346908130790812,126.83656066461617,113023543.0,2,109181591.0,3837952184140751.5,0.7046156415109118,-1.4999999999999998,0.9243051744801346,0.8858845803056966,0.9342188289050117,,No Change
7,ARM,29274840.0,8,8999091.0,1900017834729.864,5.039282923109753,24.977388727680232,30800794.0,8,9037374.0,1911408301682.0076,5.030973739296497,24.924186599944083,0.0,0,--,--,--,--,0.21261792359801057,0.17999663893368587,0.0,,No Change
8,AUS,502347760.0,3,462283568.0,1483442361311275.8,11.86051340438601,138.78298683345045,535604294.0,4,462829296.0,1487142655277546.0,11.84070828036093,138.46593289086707,66618465.0,1,66586902.0,2214806574702460.5,0.0,-2.0,0.8475606805867355,0.7114702175902039,0.9990528738288029,0.000858009,Decreasing HHI
9,AUT,200646205.0,7,105342723.0,106474610480616.88,8.847792511553154,80.65435899387218,211187554.0,8,105957060.0,107759961984278.16,8.830515426087171,80.41082569709575,4653916767.0,2,4028347134.0,4.312929190078289e+17,5.763514722162563,31.736344418213008,,0.30915643618994815,0.7630940927753915,,No Change
10,AZE,46672130.0,9,19812083.0,5013471566080.254,7.069871304917156,54.173842770632355,50697576.0,10,20666520.0,5331253319642.089,7.1599364662509775,55.72556617352911,1248181274.0,5,733952746.0,2.4271674427335936e+16,3.7047773457702777,13.295967704632034,,0.2065489733864499,0.41390016278471553,,No Change
11,BDI,0.0,0,--,--,--,--,0.0,0,--,--,--,--,27149286.0,4,17765270.0,68567897304425.0,0.5457331603756473,-1.3089832698980597,,0.0,0.5148065719923648,,No Change
12,BEL,311899180.0,7,106200699.0,186803657359716.7,6.592380920676137,42.35542466864489,324203641.0,8,107032607.0,189489147748737.44,6.583455965718082,42.25974460311762,5267158785.0,3,2649453919.0,2.439197351435902e+17,4.183153916512136,16.92994110320198,0.2665861749329251,0.2408090157375615,0.37607545772585327,0.049808098,Increasing HHI
13,BEN,34243270.0,5,22746267.0,5668072882974.797,8.692844785825539,77.68029588173835,36955239.0,6,22800917.0,5703556691315.432,8.645687984072232,77.07868085464217,2986236.0,3,2185542.0,1129842598051.0,0.5217113401395362,-1.4999999999999998,0.48854211011384135,0.38256039425666577,0.5867292936452828,,No Change
14,BFA,360874.0,7,201432.0,2546140964.1102943,2.950704889179359,7.879119256548547,373376.0,7,202858.0,2567686129.9705887,2.9465791527348846,7.862966002827209,14264365.0,1,14130109.0,97941950598804.5,0.0,-2.0,0.37164117281633957,0.2985557206699465,0.9813531994670341,,No Change
15,BGD,369246053.0,6,183458235.0,282523953714378.25,9.453005104982978,91.30585849252485,407749395.0,8,184943688.0,286554956238396.44,9.416000814308841,90.93287236083415,0.0,0,--,--,--,--,0.3662703464290863,0.2681495478760467,0.0,0.001969242,Decreasing HHI
16,BGR,89922598.0,9,38495457.0,17076220634087.797,7.669711351714363,62.23388710590538,97488425.0,12,38649905.0,17268099434211.992,7.611357198288288,61.510607085424084,2882759964.0,2,2724191087.0,2.390092572188414e+17,5.275932988009906,25.901695575766748,,0.20738335680854825,0.895075699717418,0.008598839,Decreasing HHI
17,BHR,18836977.0,3,17014705.0,5173303841423.301,7.231459796085925,50.523280616192416,20147071.0,4,17116036.0,5227547211870.328,7.219607003709989,50.40515506534044,17205397.0,2,9824483.0,24521988737428.918,0.14284983073587573,-1.8114819892802183,0.8197350733655114,0.6946231010252231,0.49851210455526745,,No Change
18,BHS,0.0,0,--,--,--,--,0.0,0,--,--,--,--,4001289.0,2,3617254.0,5226852550980.5,0.0,-2.0,,0.0,0.7165311241655478,,No Change
19,BIH,23028976.0,12,9602344.0,1042243769087.5535,7.861371432928831,67.34232883137535,63169616.0,15,21155733.0,5352536052866.006,7.465230091063484,60.11703144984511,75760415.0,5,67390013.0,263645455686940.88,3.7348977068388507,11.990724724161101,,0.08097968928234509,0.7937697869300614,0.020263649,Decreasing HHI
20,BLR,77368611.0,6,50130328.0,26270602889560.55,9.008504450922773,83.3237774517818,81748281.0,7,50322245.0,26454898006593.61,8.995116671787166,83.15688345947554,2942089804.0,3,2698732647.0,2.270322871954792e+17,5.360204567580127,26.83293615894369,,0.3767540781474806,0.844337844186411,0.009693884,Decreasing HHI
21,BLZ,14673135.0,4,8935591.0,1296803044841.9214,6.765196673471117,46.215643516805706,15641947.0,4,8969049.0,1293577655138.762,6.773458680831969,46.43642911774322,254463390.0,8,101393427.0,465869291559484.0,3.2773185161699874,10.51812888813515,,0.3918709866094894,0.23593471917674042,0.024329116,Decreasing HHI
22,BMU,0.0,0,--,--,--,--,0.0,0,--,--,--,--,71489626.0,2,70090332.0,1605024698308377.5,0.7071022014838464,-1.5,,0.0,0.961428809367208,,No Change
23,BOL,117146451.0,4,83151184.0,63821244471307.69,9.737911732577885,96.84267615764371,120599891.0,4,83773978.0,64832364870462.14,9.720796433042905,96.58014164581775,44662886.0,4,41460167.0,331162761056786.2,1.494123799608833,0.24199201734958065,0.5342873207589964,0.49342236972365977,0.8640609172070739,,No Change
24,BRA,458746074.0,2,446757138.0,1415456010753548.0,11.741982140820214,135.9181967370442,476050587.0,2,457406276.0,1473048049343628.0,11.783903942325026,136.90903186020122,1955287687.0,3,1508415929.0,2.2720246043285043e+17,2.395890796479208,4.133695593957482,,0.9037960425939042,0.6348527200232981,,No Change
25,BRB,12049269.0,8,9990057.0,1214814510201.5483,8.845455229702152,76.49787417149112,13699388.0,9,10040653.0,1228938253045.6667,8.775411412337991,75.64842227478977,35419224.0,1,35419224.0,--,0.0,-3.0,0.6899514626849477,0.46545747980539715,1.0,,No Change
26,BRN,6634470.0,2,6225971.0,530196769505.7411,8.36335826975064,67.96891081723423,9008016.0,3,6285907.0,567681089898.8641,7.733031421867992,60.1725844913604,0.0,0,--,--,--,--,0.8809741829045495,0.4044580587047838,0.0,0.04555536,Decreasing HHI
27,BTN,11241414.0,5,8661657.0,991266070739.7211,8.392158378877713,69.24381916405392,14379765.0,8,8744004.0,1041025514902.6489,7.946542757132884,63.82273142554867,13773807.0,1,13581859.0,60623231690179.0,0.7070962689899597,-1.5,0.6014724862599722,0.314101137948503,0.9724219660729161,,No Change
28,BWA,1618852.0,1,1605812.0,95446305014.33617,4.9028154614469415,22.03790909690029,1788650.0,2,1617182.0,96547143222.67805,4.865661298162356,21.7939356578817,23547674.0,1,23547674.0,--,0.0,-3.0,0.9839676916313901,0.5571927070103164,1.0,,No Change
29,CAF,18001458.0,8,10144695.0,1188643058264.0947,8.295313131255014,72.05998365798278,23469266.0,9,10246526.0,1325510181329.1929,7.353098827467632,59.035223939966144,1317488111.0,5,1120032508.0,2.8449318037349056e+16,6.34607578161783,38.51739531404471,0.3553236893059118,0.18089459779828956,0.7274740748716257,,No Change
30,CAN,452357001.0,3,389021912.0,1117212343739175.5,11.35512958194754,128.37768001546462,479408672.0,4,389486161.0,1119939859244036.5,11.337489486932224,128.10121275037665,20133807113.0,2,17795969919.0,5.607750878886373e+18,7.203874614742096,50.50926272933917,0.7498258448149014,0.635916134353409,0.7922284759453389,0.002701712,Decreasing HHI
31,CHE,244967465.0,9,98752614.0,103519307775938.02,7.866360302260129,65.77152001834258,259231429.0,10,99215076.0,104935582986445.75,7.826344750089773,65.16999602123038,5346118811.0,4,2660225010.0,2.2965302908515674e+17,4.231713815295164,18.066761562489038,,0.2060238701405935,0.34579696701902907,0.001402893,Decreasing HHI
32,CHL,323687870.0,2,310651817.0,772192239787998.4,11.031211194954992,119.79209596850866,328984030.0,2,313005572.0,783830789596270.4,11.031048440953981,119.78971770581943,4894358437.0,2,4609067445.0,8.827735587986692e+17,4.567680177862285,18.92484127027075,0.9218907222087976,0.8806421849305855,0.8892562472624845,,No Change
33,CHN,10519687.0,6,3568989.0,375302368154.0365,5.0155881071844854,24.605201541842643,11357209.0,6,3677139.0,307001888418.63165,5.785130119537739,33.44443938528114,19700758098.0,2,18963456173.0,5.209624420060904e+18,8.11593645058661,63.916879088140135,,0.41753035438140434,0.9363412758915864,,No Change
34,CIV,2422292.0,2,2076043.0,117582707842.95647,5.67751967694197,30.74953257144378,2497851.0,3,2093972.0,119454846412.20122,5.676964460126424,30.74579121710952,32674951.0,2,29846663.0,143659661828978.53,1.768122600496441,1.1608241267553936,0.7484549845030881,0.6785728601256377,0.8394495815649875,,No Change
35,CMR,132843280.0,5,69885789.0,42645659455807.94,9.245307776474451,88.48680472750836,144076920.0,6,70183977.0,43158776136513.12,9.18183671197759,87.57563897852671,35776147.0,4,13711778.0,37673334762112.48,0.4750808110909746,-1.5656554646024048,,0.2921708545114853,0.3194601858163907,0.046855189,Decreasing HHI
36,COD,4000534.0,3,3307596.0,336048092231.78033,5.274096897734246,26.427409803278522,4117572.0,2,3329972.0,320915638532.1395,5.4467070664711965,28.31618330817944,72316003.0,8,35063189.0,110848928597156.98,2.0528359958213147,2.9846404523419094,,0.5686975133357898,0.3164940367013837,,No Change
37,COG,0.0,0,--,--,--,--,0.0,0,--,--,--,--,1078954.0,1,1078954.0,,0.0,-3.0,,0.0,0.7918293930619046,,No Change
38,COK,0.0,0,--,--,--,--,0.0,0,--,--,--,--,804506.0,1,804506.0,,0.0,-3.0,,0.0,1.0,,No Change
39,COL,418720379.0,3,361027466.0,893886577428384.8,11.825675644299585,139.062711566873,427546106.0,3,363353812.0,905243692606728.6,11.825412803201422,139.0596184412593,10295110960.0,9,7272561678.0,7.552883896926125e+17,7.950055402991609,62.57257594471433,0.7511696587903621,0.7065793017168254,0.512910166335153,,No Change
40,COM,2497631.0,9,1456512.0,46181615449.642006,5.981306444043249,36.091718294295,2638587.0,9,1465482.0,46728150136.416664,5.957172506698972,35.859037726854794,3669179.0,3,3105703.0,2659860320529.3335,0.7051921348871698,-1.5000000000000002,0.3757561062569358,0.2599003581753486,0.7284733628721739,,No Change
41,CPV,6336847.0,8,3867047.0,185872064527.79752,8.04169453466179,66.73445244383221,6755528.0,8,4034703.0,200752198131.49725,8.099662449636506,67.62641027308409,37906683.0,2,36581092.0,326810836415788.9,1.151544972211172,-0.6691623739738635,0.418569664391723,0.36093203209019714,0.9323169126779236,,No Change
42,CRI,283913954.0,3,252036855.0,458883696880397.6,11.561849647640912,132.3882666935001,291803917.0,4,254284494.0,463692870222703.94,11.602041727808569,133.34158513587846,159238340.0,2,82639975.0,842354357324748.5,1.9399392286284707,1.8047953645408548,,0.7358742231004342,0.47556299931304086,0.008157493,Decreasing HHI
