Language,Pct_CC4_ara,Pct_CC4_aze,Pct_CC4_ben,Pct_CC4_bul,Pct_CC4_cat,Pct_CC4_ces,Pct_CC4_dan,Pct_CC4_deu,Pct_CC4_ell,Pct_CC4_eng,Pct_CC4_est,Pct_CC4_fas,Pct_CC4_fin,Pct_CC4_fra,Pct_CC4_hat,Pct_CC4_hbs,Pct_CC4_heb,Pct_CC4_hin,Pct_CC4_hun,Pct_CC4_hye,Pct_CC4_ind,Pct_CC4_ita,Pct_CC4_jav,Pct_CC4_jpn,Pct_CC4_kor,Pct_CC4_lav,Pct_CC4_lit,Pct_CC4_mar,Pct_CC4_mkd,Pct_CC4_mon,Pct_CC4_nep,Pct_CC4_nld,Pct_CC4_nor,Pct_CC4_pol,Pct_CC4_por,Pct_CC4_ron,Pct_CC4_rus,Pct_CC4_sin,Pct_CC4_slk,Pct_CC4_slv,Pct_CC4_spa,Pct_CC4_sqi,Pct_CC4_swa,Pct_CC4_swe,Pct_CC4_tam,Pct_CC4_tel,Pct_CC4_tgl,Pct_CC4_tha,Pct_CC4_tur,Pct_CC4_ukr,Pct_CC4_urd,Pct_CC4_vie,Pct_CC4_zho,Pct_CC4_ara,Pct_CC4_aze,Pct_CC4_ben,Pct_CC4_bul,Pct_CC4_cat,Pct_CC4_ces,Pct_CC4_dan,Pct_CC4_deu,Pct_CC4_ell,Pct_CC4_eng,Pct_CC4_est,Pct_CC4_fas,Pct_CC4_fin,Pct_CC4_fra,Pct_CC4_hat,Pct_CC4_hbs,Pct_CC4_heb,Pct_CC4_hin,Pct_CC4_hun,Pct_CC4_hye,Pct_CC4_ind,Pct_CC4_ita,Pct_CC4_jav,Pct_CC4_jpn,Pct_CC4_kor,Pct_CC4_lav,Pct_CC4_lit,Pct_CC4_mar,Pct_CC4_mkd,Pct_CC4_mon,Pct_CC4_nep,Pct_CC4_nld,Pct_CC4_nor,Pct_CC4_pol,Pct_CC4_por,Pct_CC4_ron,Pct_CC4_rus,Pct_CC4_sin,Pct_CC4_slk,Pct_CC4_slv,Pct_CC4_spa,Pct_CC4_sqi,Pct_CC4_swa,Pct_CC4_swe,Pct_CC4_tam,Pct_CC4_tel,Pct_CC4_tgl,Pct_CC4_tha,Pct_CC4_tur,Pct_CC4_ukr,Pct_CC4_urd,Pct_CC4_vie,Pct_CC4_zho
abw,,1.3147219235526323e-06,,,1.655002892001549e-05,6.0322535315944316e-06,3.093463349535605e-06,2.753182381086689e-05,,0.14552742042046202,2.0416858106934995e-05,,0.00011275673909057283,6.279730599557281e-05,4.021502354396287e-06,2.242760928413314e-06,,,4.6401950243034074e-07,,6.712815468492264e-05,0.10153141129752924,,,,3.6348194357043365e-06,3.163066274900157e-05,,,,,0.12637377807230987,1.3920585072910222e-06,4.7948681917801884e-06,0.0001017749441997214,0.0006710495370980112,,,,2.1576906863010848e-05,0.5975674860297262,2.660378480600621e-05,,3.4801462682275567e-06,,,9.512399799821988e-06,,,0.02765494365217841,,1.3147219235526323e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afg,9.010538338334152e-05,4.990689711257956e-05,1.1330771274269871e-06,2.1116437374775665e-05,1.2309337884320446e-05,2.616378094240497e-05,2.111643737477566e-06,0.00022566261062824288,7.133235552210804e-06,0.4866423082552807,7.905788139092839e-06,0.3903100480146583,9.167624031000168e-06,0.005719902098015909,,5.150350579213575e-07,,5.150350579213575e-07,1.0043183629466472e-06,5.7683926487192065e-06,0.00010323877736033614,2.8172417668298267e-05,4.068776957578724e-06,3.584644003132649e-05,,,3.064458594632078e-06,,,,,3.837011181514115e-06,9.528148571545116e-07,0.0002541955528370861,2.286755657170828e-05,0.0005472505007943387,0.0028385899699806664,,1.5451051737640731e-06,5.201854085005712e-06,5.209579610874533e-05,2.8069410656713998e-06,1.6223604324522766e-06,9.293807620190898e-05,,1.287587644803394e-06,4.326294486539403e-06,2.430965473388808e-05,7.764153498164466e-05,6.231924200848428e-05,0.00011778851774661448,,4.892833050252898e-06,0.08997740834733703,0.0004720669433108131,4.209677972495627e-05,5.3071092973010056e-05,0.0004207963236050619,0.0019823639356630887,6.108748585342433e-05,0.001336336980006173,1.444665454919579e-05,0.3127610257553414,0.000522437326382935,0.09524134915463492,0.0005502589252031963,0.01208867759525361,5.217085633938064e-05,0.000375098597345588,0.000225916526629857,0.02710492472307006,0.00011720223601632429,1.8862100895092427e-06,0.022768956411399567,0.0010968311670496245,0.0008994650022291574,0.002600655029321993,0.002971423917143935,6.730340546657979e-05,0.00015797009499639905,0.0010994461401282623,2.121986350697898e-05,4.286841112521006e-05,0.0005489728728694398,0.032992515175417535,0.0008508522240131693,0.0009479063068006448,0.021710278130251382,0.0001225179189958503,0.006445222744264206,1.3760759971192429e-05,0.00012586165506361672,0.0004064354058781165,0.10033411639630987,0.0001509825439829898,0.0066625227202578964,0.00017468877533523101,0.000260811413285778,9.816866147673102e-06,0.062314508385061224,0.002900733907198464,0.008451164306046161,3.193696628828149e-05,0.059982724030316535,0.00021331321375904524,0.0008048544188758187
ago,,6.921767644104857e-07,,,6.252663438508055e-05,1.8227321462809453e-05,,6.898695085291174e-06,4.9606001449418135e-06,0.035292639646085415,2.3695517901652288e-05,,2.058072246180511e-05,0.011063891837690087,2.768707057641943e-07,4.0146252335808164e-06,,9.229023525473144e-07,2.0765302932314574e-05,,1.2228456171251914e-06,0.00012057719236030662,2.768707057641943e-06,,3.2301582339155996e-07,8.767572349199486e-06,1.885028055077889e-05,,,,,9.805837495815216e-06,1.848111960975997e-05,1.864262752145575e-05,0.9454973786112304,9.655865863526275e-05,6.137300644439641e-06,,1.0451869142598336e-05,1.7512072139585288e-05,0.007349648247304606,1.3935825523464447e-05,9.6904747017468e-07,3.352442795628119e-05,,,1.7950450757045265e-05,,4.706801997991303e-06,,,,1.3843535288209715e-06,0.033883056558056374,2.467303415494136e-05,4.693894302647381e-05,,0.000400786359687584,0.00028548505861229707,6.824200178464268e-05,0.005993982668216534,1.0832063775340107e-06,0.40431039110249467,0.00028043009551713844,0.0012241435628776028,0.0004249779687858436,0.01971664284013824,2.599695306081626e-05,5.079034347992807e-05,1.612773939883972e-05,0.00377810348857446,0.00014190003545695539,,0.008611972126452068,0.006044773011696461,0.0003714194312299953,0.015090027689162134,0.003115662610580327,3.357939770355434e-05,0.0001729519516129304,1.1193132567851447e-05,4.3328255101360435e-06,2.106234622982799e-05,2.7080159438350274e-05,0.00029427106589673965,0.0004323197009002408,0.0022214155677939148,0.3336083072782081,0.0002487763980403112,0.005594760939963165,,7.425981499316496e-05,0.0001924496664085426,0.07165470365519568,3.791222321369038e-05,0.0015185349850385128,0.0004344861136553088,0.007569205453679327,,0.05523233212166671,0.0020212631004784642,0.00558501208256536,0.0003414507214515543,7.377838993648318e-05,3.682901683615637e-05,0.0006705047476935527
alb,0.0003671332346091785,0.0001632514652248517,1.5017062227933352e-05,6.366495045825418e-05,5.5480712145572985e-05,7.121590265196076e-05,1.3971685620056635e-05,0.003998929134383353,0.0018470350224161925,0.1018017253701537,9.162044200686456e-05,0.0009285459241958397,0.00014096827805289413,0.0017266349078829133,1.3605046288018715e-06,0.0004047213413358761,6.932816460353412e-06,6.520725971451286e-06,3.442167613182463e-05,,0.00015897905647961646,0.008554571308733609,6.172267102159048e-06,0.00019073729481919864,0.00019609144109780205,1.4256512869738986e-05,0.00027645817666508945,,5.877743605678998e-05,,,0.00010257114073401371,9.085686257154593e-05,0.0001457133788295171,0.0017561720996903982,0.0008568512693582424,0.0009210131524648783,9.96895373888231e-07,4.3557358661529854e-05,0.00028596049852683253,0.0006061123873240445,0.7876794082530871,9.665946026454278e-07,3.686694837111886e-05,,1.033256299379595e-06,5.2087025766379e-06,2.2422570719674496e-06,0.012139873705112828,7.141285766503899e-05,,2.687678409236659e-05,1.0368923919287317e-05,0.017094744795786,6.247311686140236e-05,0.0016662334164804966,7.389220196464423e-05,0.00010294194603503753,0.0017724938745798144,4.390646731201799e-05,0.005516745509691544,0.011521686689065206,0.31064715665206377,0.0004489010832389188,0.004076919706047903,0.00047699781871649315,0.010245097642962988,2.191919763483689e-05,0.020620332012877527,1.6388344194369505e-05,0.0005442870325737487,0.00010603922396169925,1.5996929950890274e-06,0.004946795317154027,0.016865869571414168,0.0003060519023795859,0.0028300781424501088,0.061525434905896785,7.198618477900624e-05,0.0002624857952792889,1.8379451432937764e-06,0.010565836088478341,6.177537842737416e-06,0.0005186068545993939,0.0018457734281633609,0.0003690015235373977,0.005022882842484272,0.05255263777036832,0.0006759383624674582,0.0020360177685048533,,0.0002727816916838513,0.0013909841132616677,0.04612365882122197,0.3032886709827178,0.0002162308425063956,0.001360521874312632,,,0.027584255106785888,0.0005922608044158334,0.016781051806653274,0.00046700824650247976,0.000648147951180433,5.035629332413226e-05,0.0002623326331840145
and,1.2284483038546e-05,,,,0.6349303035848999,2.7239505868080265e-05,3.7873109763106245e-06,0.005171925163851879,0.0002595279124151319,0.024908913653667576,9.152668192750676e-06,,1.6605901973054278e-05,0.013051025069097484,,3.3988688248941506e-06,,,3.438926921758974e-05,,1.1216267122150695e-05,0.000953346288931114,6.797737649788301e-07,3.180370114722384e-06,,3.228925383649443e-06,2.9108883721772053e-05,,,,,1.7200704017410753e-05,8.642837869016553e-06,0.0014539632503863269,0.0015181654547251312,0.00026668981458187317,0.000356869087796654,,2.4678215432177885e-05,2.4144107473980234e-05,0.31647559541171644,6.130102702041236e-06,,7.453233780303601e-06,,,1.4081027988847197e-06,6.190796788200059e-07,4.6054672577315744e-05,,,7.2832903390588925e-06,4.685583451461222e-06,0.0069740584149742225,3.821358065887568e-05,,1.5988945882374762e-06,0.3812391465036733,8.490130263540998e-05,1.9826292894144705e-05,0.016936770594281936,3.389656527063449e-05,0.13173468390893273,0.00019490525030614836,0.0012928661640488233,0.0002822048948239145,0.03312669752639815,2.238452423532467e-06,5.324318978830796e-05,4.508882738829682e-05,0.0026028405001917872,9.561389637660107e-05,,0.013322309488112298,0.002269151199626626,8.378207642364375e-05,0.004201095530593968,0.00012839123543546932,3.213778122357327e-05,5.260363195301297e-05,3.981247524711316e-05,,3.1977891764749524e-06,,0.0017077793096964484,0.00010232925364719848,0.002001176466638025,0.030197682530205917,0.0006619423595303151,0.0003671061974593245,,4.269048550594061e-05,0.0003277733905886826,0.34819559149586343,0.0001267923408472319,4.4928937929473076e-05,0.0001904283454590834,2.0465850729439692e-05,,0.01253261545098181,0.002127329249649962,0.002952678636098147,1.870706668237847e-05,0.001060546780377918,0.00013990327647077914,0.0001461389653649053
are,0.23403670077403502,2.014199099751971e-05,0.00015349206371839607,4.210433042278809e-05,0.00011963216150913049,0.0005651306786070151,4.87967094887865e-05,0.0025026805829949685,5.635084452106906e-05,0.6888902665138906,0.00012741728267670572,0.0007450431141618278,0.00017072362941122828,0.0014720408807080234,0.000301555064849202,0.00017791529389274392,4.697014220354918e-06,0.008820086529449619,0.00016762041952439268,4.9750859909187713e-08,0.0012286143652134312,0.0017921823337743704,0.0001159035122405794,0.0010143933813019576,5.303175143855611e-05,2.591131393056016e-05,4.428004213560239e-05,1.0103866602628426e-05,7.934284906481509e-05,1.045656466305606e-06,3.8538259857154535e-05,0.0009916545730988208,0.00015866437633252624,0.001636426605930106,0.0020200101778710066,0.0017000330803240028,0.011938063537596105,0.0021434767092259953,3.263034524293849e-05,0.0004821666776673813,0.006971280609832892,9.553231192419236e-05,4.3342771471241795e-05,0.0004083097493157669,0.0053984435985406426,0.0002013061937239761,0.0007464663441185157,7.656923862487788e-05,0.0005348039758595147,6.678253375417053e-05,0.0008952329645537518,0.002399995696550618,0.0023626869936597904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,,1.3866648926600474e-06,,,2.0123974254728934e-05,9.966653915994091e-06,,4.049928152125251e-05,3.379995675858865e-07,0.03407680440440823,5.971325694017329e-06,,8.181322866694279e-06,0.000369156194392842,3.6399953432326243e-07,6.933324463300236e-08,,,1.1006652585489126e-06,,5.459993014848936e-07,0.00020060707669001323,3.899995010606383e-07,1.6466645600338065e-07,,3.986661566397636e-07,2.4959968067880853e-06,,,,,0.00024160902423485498,,0.0006993904385798322,0.0020608700301269415,0.00015640713323647422,1.2999983368687945e-07,,9.76732083767421e-06,1.0009987193889716e-05,0.9610630131467184,0.0001398884877026614,6.759991351717731e-07,1.1873318143401657e-06,,,2.4786634956298345e-06,,,,,,6.248658672549338e-06,0.0005412526226317289,6.57073177726465e-06,8.555640334980013e-07,4.1067073607904065e-07,0.00045490910037111065,0.00017201400081488482,3.992632156324006e-06,6.795459930063458e-05,2.3750457569904514e-05,0.013143859133823094,0.0001963918720093545,6.70762202262433e-06,0.00020531255299862706,0.0009216820220067268,1.1795376141825775e-05,2.1434730919236592e-05,7.049847636023531e-06,5.26799294225836e-05,8.167784639794252e-05,,0.0001749913636514579,0.0010371717590085103,1.2137601755224976e-05,0.00024412093755809639,0.00022416918429692294,1.1133739955920655e-05,4.723854216953631e-05,2.737804907193604e-07,3.8785569518576055e-07,1.9392784759288027e-06,,7.931648966548802e-05,2.48569870532286e-05,2.728678890836292e-05,0.012027792963405622,0.000237287832810559,0.000839821655281638,,0.0008895242218676486,5.725434512168625e-05,0.9646863891820021,5.144791721434648e-06,1.5434375164303942e-05,0.00013392429004355382,4.069062543316494e-05,5.81783542778641e-07,0.0006762720346381602,7.990968072871332e-05,0.0003942553141563256,7.483333412995851e-06,2.1925254298442114e-05,0.0001982284828012636,0.00014420246596597646
arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016365727921418955,0.0013691533365267348,0.0027714403551785307,0.0009883496936082194,0.0006248659299823495,0.0002275214128368246,0.0001462452176554435,0.0010364662398290175,0.0034720515443762445,0.3211701819400088,0.0001397015751040991,0.009811750569537096,0.000292360601133281,0.015360525751557469,1.0178999524313541e-05,0.00011851263731879335,6.351487968487479e-05,0.0011097446496698667,0.0003858931426806722,0.2324674717995622,0.002945833622538964,0.001409609666268777,0.0004099124655377897,0.0015733824979010358,0.00036361359780347576,6.48391882964564e-05,9.680436282306348e-05,1.633313954283984e-05,0.0002334937850067024,3.461379174977028e-05,0.0012000053699415855,0.007306054809082607,9.781706940839058e-05,0.0003148998143656895,0.00969858710033567,0.00018288442257586798,0.10246959926239646,8.828724077210724e-07,2.1059103607699696e-05,0.00020158054415113776,0.019246099151608957,4.946682166790126e-05,5.2790576614615885e-05,0.003625152006609287,0.00010859330614969191,,0.011908338836354952,0.0001030883370191958,0.2185288120606395,0.00015525570958130268,0.0018483193523995863,4.123533480767832e-05,0.00016977117063765796
aus,,6.38910645732469e-07,,2.6137253689055546e-07,5.2913418023843574e-05,8.959269736748483e-06,2.6718081548812337e-06,6.190172915357988e-05,3.572091337504258e-06,0.9925272284840304,7.524624923149214e-05,,0.0054051840628966865,0.00015580707337975891,1.4520696493919748e-07,2.7153702443629934e-06,,,9.483466880178988e-05,,1.099216724589725e-05,0.0001796210156297873,3.078387656710987e-06,,,9.351328542084316e-06,5.365397354503347e-05,,,,,2.7589323338447517e-06,3.3833222830833014e-06,5.835867920906346e-05,0.000358269144594482,1.4433572314956229e-05,1.9385129819382866e-05,,8.799542075315367e-06,8.480086752449134e-06,0.0006787699576082787,1.14713502301966e-06,,1.6030848929287402e-05,,,5.21293004131719e-06,1.6408387038129315e-06,5.808278597567899e-07,,,5.663071632628702e-07,1.74248357927037e-07,0.012980627302019015,1.7255918660178842e-05,7.254777070511809e-05,2.308890524953507e-05,0.0002468082450621354,0.00010335642903947,0.00012395736084244854,0.0008234808358984456,0.0003376544528639072,0.9139419834396778,0.0001593518211335641,0.0018393223128730734,0.0001945288235913045,0.004365478796642843,1.4582466473390573e-05,0.00011858487319435725,7.478630722515612e-05,0.0013235187279259113,8.097745965771843e-05,3.786324628178604e-06,0.009420970486040837,0.001618922402928758,0.00018971916798253704,0.0024866495121004125,0.0058540608117377295,1.5740109645181665e-05,4.702205855805591e-05,3.2938465937702384e-05,0.00013069855367707733,4.649760143050415e-05,0.0004563224717004373,0.0003557929944948439,0.0001716062096261151,0.0007876962306709806,0.012538030257095729,0.000286839673859044,0.0004642532868000006,3.542643938425893e-05,1.9008372964437178e-05,9.524653101830367e-05,0.012791995423203356,4.4502106018355955e-05,7.901394333871365e-05,0.00023438756528523867,0.0004863892150738624,0.00014678403752820768,0.005280899525328564,0.002763844291467407,0.002259495617684211,1.9360142989014588e-05,0.0017806342811363051,0.00025478383089209944,0.0005301749894058061
aut,0.00015016939049845342,8.075713407245283e-06,5.789470343786297e-06,0.00019353136382797902,4.776016864898351e-05,0.0007574303345161727,0.0001244931774768978,0.8445120537134242,6.110553141298696e-05,0.12636915828820794,0.00048824563148630633,0.0014554332475667775,0.0011817600626302727,0.004299651009726089,2.9914836221722087e-06,0.0012840335853546755,6.201773108704668e-06,2.1904100437855324e-05,0.0006908614773496722,4.808344130010148e-06,0.00018881061384219184,0.004179470946371186,2.499610193044733e-05,0.0003836442225806988,8.911268205109893e-05,4.006175624820685e-05,0.00010741106288003818,9.58509692931693e-08,5.280293481250841e-05,9.715411168468318e-06,3.020920998509437e-06,0.0027280880304937343,0.00030993877611058953,0.0012194372118989668,0.0005163118363732898,0.0005815466778023617,0.0007757628196225758,1.3282718591188257e-08,0.0002515299955640081,0.0005869807456757352,0.0034370933424465754,0.0006858221216138936,2.374734688667846e-06,0.0004918820449449398,3.387093240753005e-07,1.3372466689777366e-07,0.00010717466638835445,1.4831411780441934e-05,0.0006450122252158482,5.982446705372601e-05,9.519042328755343e-06,0.00010273016105002455,8.670527905454465e-05,0.030592240230854276,0.00021019278100543835,2.1889148459181932e-05,0.0003356379245405845,0.002564124105077181,0.0009120305931334012,8.04500636746397e-05,0.45665870290860705,0.0005492351088841452,0.3325456778051193,0.00018764346307764717,0.00626860682793088,0.00033385158362552413,0.011781319614304142,9.177650063607328e-06,0.00683323294658319,0.0001275421524354344,0.0005417272992411378,0.0009457380695306276,2.226453894133231e-06,0.003939891388660135,0.004360794730646391,0.00010292171460612394,0.005201850633654604,0.002563761659094415,3.686593424704326e-05,8.233996058477604e-05,3.5597373307362703e-06,0.00022265833391270758,0.0005418437997355981,5.38232284407324e-05,0.002261468764968291,0.0004599568966292795,0.0033963130260070136,0.03189537592839082,0.0002763132838614415,0.004162692112066072,6.070970211328403e-06,0.00019256237284375545,0.0043829168800944935,0.033453453541305016,0.0011729917007248312,8.344024303245816e-05,0.0008690419106774916,6.744084179322171e-05,1.2232551918348273e-05,0.010761202451310205,0.014008317177411522,0.02000000233000989,0.00020126107643013644,0.0011397372818060618,3.995966959993769e-05,0.0004178743291302846
