index,sdn,tun,dza,dji,mar,lby,som,eth,eri,bwa,zwe,zaf,lso,swz,mwi,sen,com,stp,nga,ner,gha,civ,cod,gab,ken,moz,lbr,mdg,gnq,gmb,mrt,mli,cog,caf,tza,cmr,tgo,bdi,tcd,cpv,bfa,uga,rwa,ago,zmb,sle,ben,bra,hnd,vct,tto,lca,jam,hti,bhs,dma,tca,bmu,mex,abw,nic,pan,kna,pr,gtm,vgb,slv,dom,cub,grd,cri,brb,blz,usa,can,ury,bol,ecu,sur,chl,col,per,pry,arg,ven,guy,uzb,tjk,aze,arm,tkm,afg,irn,kaz,kgz,geo,kor,tw,chn,hkg,mng,mac,prk,jpn,lka,pak,bgd,ind,btn,syc,npl,mmr,kir,slb,fsm,vnm,cok,khm,brn,phl,pyf,png,tls,plw,vut,tha,smr,fji,mus,sgp,nru,idn,lao,bih,svn,svk,bgr,pol,ukr,blr,hrv,rou,ltu,mkd,est,cze,hun,srb,lva,mda,rus,irl,grc,alb,aut,deu,bel,mlt,grl,isl,and,lic,esp,che,cyp,prt,dnk,fra,nld,swe,nor,gbr,ita,fin,mdv,lux,egy,pse,are,lbn,isr,bhr,kwt,irq,tur,omn,syr,yem,sau,qat,jor,aus,nzl,ton,mhl,ncl,mys,tuv,wsm
Per Capita GDP,2967.08,3474.54,4055.25,1927.59,3069.67,3941.77,104.14,720.34,1146.75,7595.6,1091.17,6151.09,1178.31,1091.17,340.42,1332.83,1329.92,1921.28,1968.55,378.07,2046.09,1566.38,462.78,7220.93,1507.81,426.44,583.83,516.54,9850.35,709.08,1129.39,821.69,2146.53,427.71,933.56,1451.92,613.76,290.44,719.26,3244.67,642.14,646.22,748.35,4247.41,1513.28,494.84,826.48,9821.44,2480.13,7098.78,16145.25,9606.97,5129.85,775.97,29824.67,6719.34,28689.13,80101.2,8967.17,25655.1,2221.78,15087.68,16817.95,28450.69,4470.96,31916.82,3889.31,7052.27,8433.09,10451.03,11734.1,16494.17,5076.99,60054.94,44973.55,17120.18,3393.96,6273.49,6757.43,15346.73,6301.59,6572.35,4321.51,14399.62,7977.36,4555.07,1556.76,800.96,4146.37,3936.8,6584.7,618.99,5679.65,8756.46,1251.38,3874.95,30025.2,24318.0,8682.25,46390.33,3620.39,80101.2,684.6,38219.68,4184.37,1533.58,1491.67,1923.32,3172.83,15692.74,848.67,1257.28,1694.29,1982.28,3187.56,2342.24,17797.63,1382.12,28290.77,2988.95,19806.97,2667.0,2279.25,13417.28,3128.39,6595.0,50587.63,5382.3,10564.91,56736.77,10045.38,3846.86,2457.38,5180.78,23296.41,17552.06,8218.2,13785.75,2536.11,5749.81,13176.53,10762.76,16449.68,5414.62,19792.64,20325.72,14376.41,5912.08,15624.85,2006.43,10955.81,69603.92,18198.0,4450.01,47717.73,44976.43,43288.91,29136.97,49398.44,73060.19,39152.81,80101.2,28353.65,80101.2,25789.85,18881.95,57532.5,38414.88,48754.15,54043.34,75295.26,39757.71,32746.61,45670.12,11151.09,80101.2,2000.3,2946.33,40698.84,8778.47,42452.14,23667.62,28897.19,4755.72,10546.06,15267.42,831.06,989.61,20760.91,63505.88,4195.73,57613.23,42934.98,3949.82,3753.26,35815.49,9951.45,3923.56,4355.68
Percent Internet Access,0.19,0.39,0.14,0.07,0.51,0.17,0.01,0.01,0.06,0.07,0.16,0.21,0.04,0.16,0.03,0.18,0.06,0.2,0.28,0.01,0.14,0.02,0.01,0.08,0.28,0.04,0.03,0.02,,0.11,0.05,0.02,0.06,0.02,0.12,0.05,0.04,0.01,0.02,,0.03,0.13,0.07,0.15,0.12,,0.04,0.45,0.16,0.43,0.55,0.42,0.32,,0.65,0.51,,,0.36,,0.11,0.43,,,0.12,,0.18,0.36,0.23,,0.42,0.72,,0.78,0.83,0.51,0.3,0.31,0.32,0.54,0.4,0.37,0.24,0.48,0.4,0.32,0.3,0.13,0.5,,0.05,0.05,0.21,0.45,0.2,0.37,0.84,,0.38,,0.2,,,0.8,0.15,0.09,0.05,0.1,0.21,0.43,0.09,0.01,0.1,0.06,,0.35,,0.03,0.56,0.29,,0.02,0.01,,,0.24,0.5,0.28,0.35,0.75,,0.18,0.09,0.6,0.72,0.74,0.51,0.65,0.31,0.4,0.71,0.44,0.65,0.57,0.77,0.73,0.59,0.42,0.72,0.38,0.49,0.77,0.53,0.49,0.8,0.83,0.78,0.69,,0.95,0.81,0.85,0.68,0.85,0.58,0.55,0.9,0.8,0.92,0.91,0.94,0.82,0.57,0.89,0.34,0.91,0.36,0.55,0.7,0.52,0.7,0.77,0.74,0.05,0.42,0.68,0.23,0.15,0.48,0.86,0.35,0.79,0.86,0.25,,,0.61,0.3,
Population,38647803.0,11273661.0,39871528.0,927414.0,34803322.0,6234955.0,13908129.0,99873033.0,4846976.0,2209197.0,15777451.0,55291225.0,2174645.0,0.0,17573607.0,14976994.0,777424.0,195553.0,181181744.0,19896965.0,27582821.0,23108472.0,76196619.0,1930175.0,47236259.0,28010691.0,4499621.0,24234088.0,1175389.0,1977590.0,4182341.0,17467905.0,4995648.0,4546100.0,53879957.0,22834522.0,7416802.0,10199270.0,14009413.0,532913.0,18110624.0,40144870.0,11629553.0,27859305.0,16100587.0,7237025.0,10575952.0,205962108.0,8960829.0,109455.0,1360092.0,177206.0,2871934.0,10711061.0,386838.0,73162.0,34339.0,62003.0,125890949.0,104341.0,6082035.0,3969249.0,54288.0,3673728.0,16252429.0,30113.0,6312478.0,10528394.0,11461432.0,106823.0,4807852.0,284217.0,359288.0,319929162.0,35949709.0,3431552.0,10724705.0,16144368.0,553208.0,17762681.0,48228697.0,31376671.0,6639119.0,43417765.0,31155134.0,768514.0,30976021.0,8548651.0,9617484.0,2916950.0,5565284.0,33736494.0,79360487.0,17749648.0,5865401.0,3951524.0,50593662.0,23485755.0,500000000.0,7245701.0,2976877.0,600942.0,25243917.0,127974958.0,20714040.0,189380513.0,161200886.0,500000000.0,787386.0,93742.0,28656282.0,52403669.0,112407.0,587482.0,104433.0,93571567.0,17449.0,15517635.0,417542.0,101716359.0,277690.0,7919825.0,1240977.0,21288.0,264603.0,68657600.0,32960.0,892149.0,1259456.0,5535262.0,11260.0,258162113.0,6663967.0,3535961.0,2074788.0,5439318.0,7177396.0,38265226.0,44657704.0,9485772.0,4236016.0,19876621.0,2931926.0,2079308.0,1315321.0,10603762.0,9783925.0,8851280.0,1992663.0,4065980.0,143888004.0,4700107.0,11217800.0,2923352.0,8678657.0,81707789.0,11287940.0,427616.0,56377.0,330243.0,78014.0,37403.0,46397664.0,8319769.0,1160985.0,10418473.0,5688695.0,64457201.0,16938499.0,9763565.0,5199836.0,65397080.0,59504212.0,5481966.0,418403.0,566741.0,93778172.0,4662884.0,9154302.0,5851479.0,8064547.0,1371855.0,3935794.0,36115649.0,78271472.0,4199810.0,18734987.0,26916207.0,31557144.0,2481539.0,9159302.0,23799556.0,4614532.0,106364.0,52994.0,269091.0,30723155.0,11001.0,193759.0
PCT_POPULATION,0.005257197817953991,0.001533537779872067,0.005423659140471489,0.00012615461885737681,0.00473423931693996,0.0008481307933866598,0.001891900179438987,0.013585566329864778,0.0006593262662531003,0.00030051347673839315,0.002146181012412944,0.007521175457813298,0.0002958134243445755,0.0,0.0023905091933422704,0.0020372961478899595,0.00010575172297439686,2.6600756707809673e-05,0.024645858115399176,0.0027065518053356608,0.003752046303232697,0.00314340788206385,0.010364902220761984,0.0002625585676440481,0.006425471526624932,0.003810248763806405,0.0006120761302478166,0.003296523596792941,0.00015988625501033328,0.0002690083530183497,0.0005689170476039612,0.002376130722106703,0.0006795498767385617,0.0006183985930636378,0.007329202965867294,0.003106142908884689,0.0010088955196391578,0.0013873901186239124,0.0019056776773162575,7.249128911051722e-05,0.0024635587429015088,0.005460841408398988,0.0015819491901099866,0.0037896559723127007,0.002190136677217548,0.0009844407465665896,0.0014386295587665394,0.02801669074847034,0.001218927002548084,1.4888985724858773e-05,0.0001850111038554165,2.4105044121870397e-05,0.000390664513532836,0.001457008216409406,5.262094431348882e-05,9.95210793113259e-06,4.671078350060988e-06,8.434167300702742e-06,0.01712474114978689,1.4193336617947918e-05,0.0008273293343665565,0.0005399304892367637,7.384708391860886e-06,0.0004997312479924533,0.00221079149765,4.0962224396571405e-06,0.0008586761210587463,0.0014321603213346926,0.001559079963769947,1.4530959043319985e-05,0.0006540042921313207,3.866157649958601e-05,4.887336259753378e-05,0.0435194438443564,0.004890180477034645,0.00046678844038290244,0.0014588641875503314,0.0021960921354791173,7.525198496987505e-05,0.002416228622212052,0.0065604712545022075,0.0042681175516202105,0.0009031085653157797,0.005906047994977597,0.004237982233630828,0.00010453971015809345,0.00421361778339889,0.0011628590992261633,0.0013082507147691527,0.00039678796683684437,0.0007570365358438166,0.004589120438287732,0.010795278041759995,0.002414455764407913,0.0007978609634970754,0.000537519386299729,0.006882173599071124,0.0031947290752595186,0.19003552311760186,0.000985620928743273,0.00040493973923219964,8.174516339562453e-05,0.003433888994130188,0.017408225506385284,0.002817697189385169,0.02576112333491784,0.021927894481646216,0.17806848495993388,0.00010710683764061624,1.2751571877207175e-05,0.003898067458092617,0.007128385909014884,1.529054148621991e-05,7.991422147559712e-05,1.4205851228396842e-05,0.012728388153265418,2.3735591056878244e-06,0.002110838664278186,5.679755952244285e-05,0.013836310969216668,3.7773719299584616e-05,0.001077320920637519,0.00016880808403342074,2.8957720351815223e-06,3.599351596322513e-05,0.0093393817212833,4.483495221701568e-06,0.00012135757823257988,0.00017132175236478673,0.0007529526919862339,1.5316794962487762e-06,0.035117372574632294,0.0009064885983639848,0.0004809910269303125,0.0002822300389576382,0.0007399015856284992,0.0009763295106268188,0.0052051564905440115,0.0060747148815583464,0.001290334145514276,0.0005762183706022872,0.0027037844440859545,0.0003988251277725301,0.0002828448872101288,0.00017892097750314706,0.0014424125078598506,0.001330891413440125,0.0012040252301560273,0.0002710587087063566,0.0005530886499251867,0.019572851286231072,0.0006393479149267626,0.0015259390988472045,0.0003976588204900402,0.0011805436040742375,0.011114577717151092,0.0015354801290307653,5.816790936660006e-05,7.668871666076133e-06,4.492241846178371e-05,1.06121176039389e-05,5.087869289359945e-06,0.0063113988119573704,0.0011317246528264814,0.00015792690230482997,0.0014172079463873426,0.0007738239335624272,0.008768008273293616,0.002304116484505364,0.0013281218757364285,0.0007073252384597027,0.008895858485838447,0.008094261230980495,0.0007457029237418223,5.691467995283985e-05,7.709285696123692e-05,0.012756492295567592,0.0006342845307448027,0.0012452448202370484,0.0007959671764680544,0.0010970072190439237,0.00018661120562401108,0.0005353796599697119,0.00491275302549002,0.01064714110156396,0.0005712933272771379,0.0025484898268550065,0.0036613678844305314,0.0042926670004413935,0.00033755971629144686,0.0012459249621092725,0.00323741491518868,0.0006277072867836463,1.4468522019449808e-05,7.208687675329275e-06,3.660401130773352e-05,0.004179220832466525,1.4964481472675655e-06,2.635672180405565e-05
Twitter Total Words Per Country,20400060.0,51902914.0,48631580.0,6346703.0,23987253.0,10412887.0,8499537.0,30975879.0,2710663.0,1809978.0,46431258.0,103120550.0,,8445806.0,11243050.0,21157735.0,17703694.0,483058.0,71870713.0,10427753.0,44028016.0,2127174.0,3219413.0,9158135.0,93471417.0,9099718.0,5221682.0,6864676.0,7272083.0,38210815.0,945643.0,9630189.0,,7339719.0,46973513.0,53975726.0,10588096.0,,9405038.0,2405883.0,348394.0,36526837.0,,8308666.0,17663855.0,,15974099.0,156705908.0,69042193.0,,,,56278892.0,68190052.0,,,,,115691138.0,,63934661.0,90640470.0,2725110.0,,88091552.0,,120666732.0,4953111.0,88834875.0,2295618.0,73250306.0,4824315.0,3374056.0,283478648.0,168784754.0,108192190.0,40198432.0,94884943.0,8184287.0,76621837.0,78205895.0,88590713.0,84082394.0,87661469.0,150120266.0,7759606.0,492912.0,7477227.0,31301156.0,38510661.0,,23327200.0,76363593.0,16902897.0,885283.0,24845490.0,51727683.0,32470928.0,32470928.0,8928170.0,6410909.0,,21293312.0,44875738.0,49725154.0,143933244.0,90417792.0,223762109.0,7070299.0,5516344.0,59796827.0,14648117.0,888584.0,1219427.0,5778696.0,42754388.0,,8929783.0,3752024.0,102419094.0,,14653092.0,,3370182.0,,64483748.0,,2228257.0,57894961.0,17286531.0,,102558828.0,393126.0,58305822.0,67187494.0,1470157.0,47043413.0,80529703.0,33773682.0,28945751.0,59230345.0,62402398.0,25262854.0,56972267.0,41959231.0,71159209.0,55358666.0,3757513.0,35736404.0,19559366.0,135778195.0,110093895.0,84007434.0,58761275.0,77252891.0,103775638.0,94898853.0,,,24677655.0,6254321.0,9511848.0,160024312.0,89420980.0,66308828.0,72714759.0,88103000.0,110424909.0,97046699.0,91911184.0,6612647.0,100741434.0,104232384.0,66480701.0,4475369.0,75705227.0,14199265.0,,,12537650.0,89809613.0,4691471.0,21379097.0,35915180.0,98441604.0,18008581.0,49035503.0,13853161.0,7645433.0,11226325.0,45183129.0,156352151.0,86634222.0,712473.0,1157898.0,,89509703.0,1083212.0,37174246.0
PCT_WORDS_TW,0.00254577620451179,0.006477098763730198,0.006068860540204856,0.0007920214682948771,0.002993431288878761,0.0012994510773434078,0.0010606791864321737,0.003865559987178296,0.000338270640569221,0.0002258718319009768,0.005794276671830754,0.012868679914969284,,0.0010539739560924283,0.0014030492633912,0.0026403284257186625,0.002209289723518369,6.0282056121357314e-05,0.008968932001018436,0.0013013062438995981,0.005494369892277982,0.0002654555404276342,0.00040175886776293366,0.0011428673327777753,0.011664539672951885,0.001135577324388635,0.0006516271904654954,0.0008566606574923396,0.0009075020298290648,0.0047684263468834006,0.00011800923366711391,0.001201776171302986,,0.0009159425010516179,0.0058619460745569,0.006735770329697479,0.0013213158612222938,,0.0011736789961857546,0.0003002363567675506,4.347698756742287e-05,0.004558278380587156,,0.0010368599011001023,0.0022043181117578385,,0.0019934490939102914,0.019555735213171617,0.008615953680857335,,,,0.0070231883665974,0.008509612803394774,,,,,0.014437396075957116,,0.007978571563874222,0.011311258481189015,0.0003400735190326462,,0.010993172417145487,,0.015058313308970728,0.0006181115213438387,0.011085933615184432,0.00028647610247464696,0.009141094976583755,0.0006020387356737821,0.0004210571673558917,0.035376033039391734,0.02106308561923721,0.01350158297652156,0.0050164662086427825,0.011840937235275658,0.0010213383242743004,0.009561837042664629,0.009759515733951157,0.011055464008249648,0.010492859230001523,0.010939501248170249,0.018733895929609046,0.0009683412848387168,6.151176224571475e-05,0.0009331024797149164,0.003906152144577587,0.004805844904074803,,0.0029110615693232,0.009529610106559642,0.002109356196497153,0.00011047675328694187,0.003100532901934389,0.006455231234414461,0.004052131015340917,0.004052131015340917,0.0011141694061603754,0.000800033900953746,,0.0026572474299019393,0.005600159311311121,0.0062053304656400155,0.01796180146594615,0.011283469918132422,0.02792385182021884,0.0008823208830260061,0.0006883988229005888,0.007462200566170301,0.0018279763735746183,0.00011088869360726902,0.00015217544653001994,0.0007211384069413259,0.005335430562893659,,0.0011143706965986329,0.00046822477080739685,0.012781143408051558,,0.001828597216680837,,0.00042057372088483835,,0.008047093549535379,,0.000278069949212739,0.007224861793295612,0.002157230874730535,,0.012798581175007206,4.905920944227135e-05,0.007276134199218044,0.008384500999799935,0.00018346469115759656,0.0058706690761900025,0.0100495097393734,0.004214705053531615,0.003612215067873494,0.007391507813507602,0.0077873565044845015,0.0031526168340316398,0.007109716424642493,0.005236200866047132,0.008880141578215027,0.006908350986041996,0.00046890975730187615,0.004459638203908221,0.002440863827760161,0.01694411182724765,0.0137389016577902,0.01048350477789255,0.007332971356053537,0.009640587902072005,0.012950430039344471,0.011842673100121388,,,0.0030795883385711315,0.0007804928797845881,0.0011870080921003695,0.019969847423633585,0.011159075172726192,0.008274849999042409,0.009074262682512184,0.010994601042649006,0.013780209750244844,0.012110708352848871,0.011469834164983084,0.0008252093072979332,0.012571783881302066,0.013007428552991288,0.008296298474860523,0.0005584928625999004,0.009447450912093569,0.0017719629725871933,,,0.0015646057428506212,0.011207573689087813,0.0005854607896230272,0.002667952761734495,0.0044819481229348215,0.012284782152462915,0.0022473373601265448,0.006119267135178352,0.0017287717600375074,0.000954093341126898,0.0014009621074210481,0.005638519428550043,0.019511588962975317,0.01081130844046497,8.891134681746665e-05,0.0001444970836189596,,0.011170147145171023,0.0001351768246780463,0.0046390702227085395
Web Total Words Per Country,9232246.0,83342157.0,90940114.0,268009617.0,597424662.0,,143091571.0,960198.0,,25291290.0,,,512258.0,1065210.0,5636601.0,135984073.0,3846854.0,224813667.0,503612973.0,1466667.0,,39557533.0,80467648.0,1611624147.0,236076.0,16491584.0,,26899931.0,,22431175.0,,1497140996.0,1742943.0,1369786106.0,,58850978.0,6337490.0,34628579.0,216039.0,55014012.0,15157370.0,49321799.0,31716051.0,43341530.0,215464.0,6276800.0,4855869.0,2265007720.0,218362271.0,84248289.0,54232846.0,6103025.0,,189280386.0,4756985.0,3050120.0,108803723.0,75405276.0,5668324634.0,12930491.0,,816871.0,721298.0,57093052.0,81325639.0,79727469.0,121622684.0,141954286.0,1250922548.0,95557607.0,222321557.0,36130218.0,250995293.0,22298821436.0,29559952407.0,64746124.0,46840919.0,633815824.0,12659521.0,8030241517.0,11510687302.0,1516159131.0,5429656.0,115384763.0,43893247.0,11852956.0,617068520.0,106264470.0,1388899884.0,,56570654.0,38832308.0,19765782454.0,3813553646.0,368002136.0,785544676.0,1041604414.0,3688036455.0,3688036455.0,842217578.0,552585010.0,5972357.0,,9411331437.0,635387313.0,1003208895.0,,13344595162.0,14004355.0,89821909.0,,,82449.0,687231.0,,16085146616.0,836408.0,,,988235980.0,57311064.0,,542266790.0,698437027.0,62980491.0,177635.0,27241649.0,,116255679.0,1861906374.0,1345330.0,657379195.0,,1165555848.0,2336951369.0,6308800251.0,3811406835.0,6469208328.0,3645480071.0,3553705588.0,4325566548.0,6900165353.0,4510580807.0,447985689.0,2755339301.0,6456803419.0,5455527325.0,3204543569.0,2930234168.0,1088489915.0,15363648300.0,6670882024.0,5198139531.0,330024603.0,5571148669.0,12529922128.0,6591620212.0,11033958.0,29661638.0,1600496876.0,82380349.0,402978419.0,21501779384.0,6493147170.0,93540.0,4863628532.0,6976281596.0,20453263691.0,7315810635.0,6871271177.0,6833122698.0,4493382564.0,13087906730.0,5068621982.0,15270410.0,574189630.0,9435885.0,266862022.0,1125608685.0,,,18140662.0,119427.0,12743106.0,1889259.0,20593197.0,70690429.0,,41409424.0,102610732.0,51156835.0,68867220.0,173246513.0,,,46925316.0,1291530890.0,,
PCT_WORDS_CC4,2.298987284377257e-05,0.00020753623678958834,0.00022645645027853263,0.0006673898221232612,0.0014876896708681511,,0.0003563225050876736,2.391057379195132e-06,,6.297964126551403e-05,,,1.275610104324045e-06,2.6525552343292166e-06,1.4036101319341074e-05,0.00033862361846167085,9.579324934426345e-06,0.0005598245126778716,0.0012540825073058353,3.652251882603365e-06,,9.850502831958089e-05,0.00020037821734358573,0.0040132199912657675,5.878696496460832e-07,4.10668670605608e-05,,6.698543271011798e-05,,5.585746534336392e-05,,0.003728137348944018,4.3402264133715116e-06,0.003411001873228505,,0.00014654900887082695,1.5781434902046613e-05,8.623108915972701e-05,5.379740898688989e-07,0.00013699430674895128,3.7744445820227614e-05,0.00012281972203038232,7.897839589592889e-05,0.00010792782856463684,5.365422414448892e-07,1.563030641360636e-05,1.2091944999734308e-05,0.005640256929133303,0.0005437594323382854,0.00020979266057418784,0.00013504906969505576,1.5197576918158927e-05,,0.00047134056067832137,1.1845706913543405e-05,7.595320895722188e-06,0.0002709398944416183,0.00018777204452628048,0.014115098598204997,3.219913593047083e-05,,2.03414861559856e-06,1.7961554861587814e-06,0.00014217147222278254,0.00020251476179778479,0.0001985350449355248,0.00030286130158125473,0.00035349047076610875,0.003115011267672892,0.0002379547982349248,0.0005536187321979433,8.997042730856423e-05,0.0006250212429841492,0.055527882313754426,0.07360934133523943,0.00016122893149588208,0.00011664190617271794,0.0015783098934030715,3.152437424794233e-05,0.019996675931362028,0.028663581691541533,0.0037754957604698475,1.3520772846112073e-05,0.00028732781053265194,0.00010930169833324434,2.9515889336444373e-05,0.001536606239770358,0.0002646167198221197,0.003458598452195757,,0.0001408706117827725,9.66990939312289e-05,0.049220181662742835,0.0094964013528718,0.0009163883103717881,0.001956140706643056,0.0025937732845693496,0.00918384206222925,0.00918384206222925,0.002097265933447842,0.0013760312620866898,1.4872191231431116e-05,,0.023435826236349138,0.0015822231700082865,0.0024981618700142512,,0.033230326176967404,3.4873241106124184e-05,0.00022367192842293314,,,2.0531212297594805e-07,1.711322824835762e-06,,0.04005476840362341,2.0827990897896488e-06,,,0.002460876748717589,0.00014271435942037416,,0.0013503371280943687,0.0017392277502259526,0.00015683220309861356,4.423415561720886e-07,6.783636902273665e-05,,0.0002894965404492517,0.004636465577852849,3.350101983083266e-06,0.001636986720586905,,0.002902433572267844,0.005819408929895307,0.015709992516149424,0.009491055426007458,0.01610943608528137,0.009077869381599777,0.008849335209690473,0.010771401121221885,0.017182592845389418,0.011232118295427902,0.0011155610483017722,0.006861266496954175,0.016078545738495917,0.013585196873813448,0.007979862015552784,0.007296784652921696,0.0027105262075532662,0.0382581140963361,0.016611638109249708,0.012944257209120898,0.0008218177525042685,0.013873113811532188,0.0312016508729395,0.016414262629951715,2.7476444126762554e-05,7.386255586755514e-05,0.0039855111817964145,0.000205141170234806,0.0010034852420087708,0.05354311117284034,0.016169047899525394,2.329306114467147e-07,0.0121112675626304,0.017372135319443475,0.050932127620542215,0.018217620744482875,0.017110641401270013,0.01701564515860129,0.01118929172649697,0.03259112804336618,0.012621736342308306,3.802593476953204e-05,0.0014298304639968234,2.3496968811106304e-05,0.0006645321141369108,0.0028029582985544424,,,4.517335355685463e-05,2.973936725812145e-07,3.1732515205369876e-05,4.7045782986017615e-06,5.128058551264326e-05,0.00017603126844559092,,0.0001031165539018202,0.0002555182867837821,0.0001273892757775144,0.00017149116595291232,0.0004314134723551551,,,0.00011685206914913733,0.0032161329902717518,,
Twitter Adjusted for Population,0.002711421613442201,-0.004943560983858131,-0.0006452013997333668,-0.0006658668494375004,0.001740808028061199,-0.00045132028395674804,0.0008312209930068134,0.009720006342686485,0.0003210556256838793,7.464164483741634e-05,-0.0036480956594178095,-0.005347504457155985,,-0.0010539739560924283,0.0009874599299510704,-0.0006030322778287033,-0.0021035380005439727,-3.3681299413547644e-05,0.015676926114380742,0.0014052455614360622,-0.0017423235890452853,0.002877952341636216,0.00996314335299905,-0.0008803087651337273,-0.0052390681463269535,0.0026746714394177704,-3.95510602176788e-05,0.0024398629393006014,-0.0007476157748187315,-0.0044994179938650505,0.00045090781393684735,0.0011743545508037172,,-0.00029754390798798015,0.0014672568913103937,-0.00362962742081279,-0.000312420341583136,,0.0007319986811305031,-0.0002277450676570334,0.002420081755334086,0.0009025630278118324,,0.0027527960712125984,-1.4181434540290298e-05,,-0.0005548195351437518,0.008460955535298725,-0.007397026678309252,,,,-0.006632523853064564,-0.007052604586985369,,,,,0.0026873450738297746,,-0.007151242229507666,-0.010771327991952252,-0.0003326888106407853,,-0.008782380919495488,,-0.01419963718791198,0.0008140487999908537,-0.009526853651414485,-0.000271945143431327,-0.008487090684452435,-0.0005633771591741963,-0.00037218380475835793,0.008143410804964668,-0.016172905142202564,-0.013034794536138657,-0.0035576020210924507,-0.00964484509979654,-0.0009460863393044254,-0.0071456084204525785,-0.0031990444794489487,-0.006787346456629438,-0.009589750664685743,-0.005033453253192652,-0.014495913695978219,-0.0008638015746806234,0.004152106021153176,0.00022975661951124687,-0.002597901429808434,-0.00440905693723796,,0.0016780588689645321,0.0012656679352003528,0.00030509956791075973,0.0006873842102101335,-0.0025630135156346602,0.00042694236465666384,-0.0008574019400813987,0.18598339210226086,-0.0001285484774171024,-0.00039509416172154633,,0.0007766415642282485,0.011808066195074164,-0.0033876332762548464,0.007799321868971688,0.010644424563513794,0.15014463313971504,-0.0007752140453853899,-0.0006756472510233817,-0.0035641331080776845,0.005300409535440266,-9.55981521210491e-05,-7.226122505442282e-05,-0.000706932555712929,0.00739295759037176,,0.0009964679676795533,-0.000411427211284954,0.00105516756116511,,-0.0007512762960433183,,-0.0004176779488496568,,0.0012922881717479205,,-0.00015671237098015912,-0.007053540040930825,-0.0014042781827443012,,0.022318791399625088,0.0008574293889217135,-0.006795143172287732,-0.008102270960842295,0.0005564368944709026,-0.004894339565563184,-0.004844353248829389,0.0018600098280267309,-0.0023218809223592178,-0.006815289442905314,-0.005083572060398547,-0.0027537917062591096,-0.006826871537432363,-0.005057279888543985,-0.007437729070355176,-0.005577459572601871,0.0007351154728541513,-0.004188579495201864,-0.0018877751778349746,0.0026287394589834213,-0.013099553742863436,-0.008957565679045345,-0.006935312535563497,-0.008460044297997767,-0.0018358523221933766,-0.010307192971090623,,,-0.003034665920109348,-0.0007698807621806492,-0.0011819202228110096,-0.013658448611676215,-0.010027350519899713,-0.008116923096737578,-0.007657054736124841,-0.01022077710908658,-0.0050122014769512285,-0.009806591868343508,-0.010141712289246657,-0.00011788406883823054,-0.003675925395463619,-0.0049131673220107926,-0.0075505955511187,-0.0005015781826470607,-0.009370358055132331,0.0109845293229804,,,-0.0007686385663825668,-0.010110566470043887,-0.00039884958399901614,-0.002132573101764783,0.0004308049025551989,-0.0016376410508989554,-0.0016760440328494075,-0.0035707773083233467,0.0019325961243930238,0.0033385736593144954,-0.0010634023911296011,-0.004392594466440771,-0.016274174047786638,-0.010183601153681323,-7.444282479801685e-05,-0.00013728839594363032,,-0.0069909263127044975,-0.0001336803765307787,-0.004612713500904486
